id,Sex,Age,area
Bear 2,M,J,18.46
Bear 2,M,J,6.06
Bear 4,F,J,58.61
Bear 5,M,A,10.93
Bear 6,M,A,3.88
Bear 6,M,A,73.69
Bear 6,M,A,36.37
Bear 8,F,A,1.66
Bear 8,F,A,12.89
Bear 10,M,A,30.96
Bear 10,M,A,1.03
Bear 12,M,A,87.08
Bear 12,M,A,363.81
Bear 13,F,J,61.67
Bear 13,F,J,13.53
Bear 14,M,J,155.59
Bear 14,M,J,352.51
Bear 15,M,A,123.87
Bear 15,M,A,82.33
Bear 15,M,A,8.25
Bear 15,M,A,13.83
Bear 16,F,A,240.96
Bear 16,F,A,47.19
Bear 17,M,A,8.67
Bear 17,M,A,31.36
Bear 18,M,J,79.88
Bear 18,M,J,236.98
