id,x,y,date,dist,Season,Name,alt
1,556153.93,579218.87,5/16/2013,2187.428886,II,Bear2,1154
2,558318.54,578903.7,5/17/2013,1713.477345,II,Bear2,1050
3,560426.96,578907.49,5/21/2013,525.4057152,II,Bear2,1349
4,560202.97,578432.22,5/22/2013,425.4019142,II,Bear2,1213
5,560628.11,578447.37,5/23/2013,8.048338457,II,Bear2,1426
6,560775.4,578952.68,5/27/2013,559.6986336,II,Bear2,1419
7,560670.04,578402.99,5/28/2013,584.9471952,II,Bear2,1385
8,561250.38,578329.69,5/29/2013,672.8120207,II,Bear2,1477
9,561889.34,578118.97,5/30/2013,1902.862098,II,Bear2,1607
10,563764.26,577794.05,5/31/2013,832.0415942,II,Bear2,1242
11,562957.72,577589.62,6/1/2013,1194.111921,II,Bear2,1545
12,564119.18,577312.32,6/2/2013,1978.978,II,Bear2,1369
13,563887.34,575346.97,6/3/2013,2491.885272,II,Bear2,1471
14,561623.38,576388.11,6/4/2013,1167.402595,II,Bear2,1102
15,561821.42,577538.59,6/5/2013,823.9289463,II,Bear2,1311
16,561129.86,577986.48,6/6/2013,694.1378134,II,Bear2,1251
17,560613.85,578450.76,6/7/2013,711.0312664,II,Bear2,1415
18,560725.45,579152.98,6/8/2013,431.65557,II,Bear2,1379
19,560361.58,578920.76,6/9/2013,2802.882801,II,Bear2,1324
20,557741.03,577926.36,6/10/2013,767.1390789,II,Bear2,1201
21,557561.51,578672.2,6/11/2013,1462.93146,II,Bear2,1045
22,559023.31,578614.55,6/12/2013,911.3332465,II,Bear2,1159
23,562361.43,568893.34,9/1/2013,298.8390421,IV,Bear2,869
24,562593.85,569081.19,9/2/2013,1126.193745,IV,Bear2,938
25,562403.67,567971.17,9/3/2013,462.7479293,IV,Bear2,893
26,561995.54,567753.08,9/4/2013,95.44979737,IV,Bear2,799
27,561993.95,567657.64,9/5/2013,620.8330279,IV,Bear2,809
28,561687.01,567117.99,9/6/2013,718.7973664,IV,Bear2,833
29,561986.52,567771.41,9/7/2013,921.3707097,IV,Bear2,799
30,562201.35,568667.39,9/8/2013,1495.694711,IV,Bear2,807
31,561768.28,570099.02,9/9/2013,283.5774461,IV,Bear2,949
32,561946.59,569878.51,9/10/2013,1196.234815,IV,Bear2,908
33,560902.83,569294.09,9/11/2013,334.0292895,IV,Bear2,869
34,560668.51,569532.14,9/12/2013,441.8434599,IV,Bear2,862
