bear_id,date,num_points,centroid_x,centroid_y,min_x,max_x,min_y,max_y,sex,age,season,total_distance,avg_speed
Bear2,2013-05-15,11,556112.9443727273,579275.4883363637,556000.3626,556158.8714,579204.5314,579423.7048,M,J,Den exit and reproduction,826.5790231417676,82.65790231417677
Bear2,2013-05-16,24,557012.8253208334,579113.2409166666,555804.6522,558451.3027,578899.371,579358.4898,M,J,Den exit and reproduction,3857.2369342651655,167.70595366370284
Bear2,2013-05-17,23,559246.2399391305,578267.3080521738,558315.3958,559797.6034,577767.8684,578913.7313,M,J,Den exit and reproduction,3042.696154059345,138.30437063906115
Bear2,2013-05-18,23,560313.4489695652,578364.7529434783,559770.3365,560847.7569,577646.2777,579311.6997,M,J,Den exit and reproduction,2869.9570191062444,130.45259177755656
Bear2,2013-05-19,24,560752.0005791666,579514.7653458333,560571.2527,561109.2742,579047.0337,579734.9629,M,J,Den exit and reproduction,1640.3227252738027,71.31837935973056
Bear2,2013-05-20,23,560490.5848000001,579231.5828217391,560281.7015,560720.7304,578879.6599,579722.9831,M,J,Den exit and reproduction,1437.5887940502078,65.34494518410035
Bear2,2013-05-21,23,560268.3686869565,578719.1590043479,559777.7842,560437.9406,578291.143,579106.3202,M,J,Den exit and reproduction,2251.776935195937,102.35349705436077
Bear2,2013-05-22,24,560465.8062416668,578467.4446833334,560196.0428,560662.9994,578409.6042,578599.6217,M,J,Den exit and reproduction,1122.6156780827016,48.80937730794355
Bear2,2013-05-23,24,560597.0560083333,578466.0447625,560444.3421,560629.8625,578395.9797,578643.0967,M,J,Den exit and reproduction,1301.1708392373932,56.57264518423449
Bear2,2013-05-24,24,560657.1060791666,578414.3436416667,560598.767,560725.4335,578258.3844,578456.9408,M,J,Den exit and reproduction,743.8278538261106,32.340341470700466
Bear2,2013-05-25,22,560956.9908681818,578452.7357863636,560608.806,561335.4135,578217.4326,578659.2881,M,J,Den exit and reproduction,1605.3699622411991,76.44618867815234
Bear2,2013-05-26,22,560899.5576090908,578800.5510409093,560744.9161,561255.7093,578482.3298,579068.7714,M,J,Den exit and reproduction,1878.2083245480394,89.43849164514474
Bear2,2013-05-27,23,560724.2181391304,578652.3974434781,560629.0996,560793.2599,578381.2356,578953.7172,M,J,Den exit and reproduction,1330.9938407079821,60.49972003218101
Bear2,2013-05-28,23,560945.0890043478,578327.5960347824,560650.3672,561265.1989,578012.1107,578561.6879,M,J,Den exit and reproduction,2127.9046929839974,96.7229405901817
Bear2,2013-05-29,24,561460.1437833334,578173.6199916668,561064.5151,561896.322,577930.7266,578349.1442,M,J,Den exit and reproduction,1798.0098527421333,78.17434142357101
Bear2,2013-05-30,24,562805.1236958333,578166.0408583333,561877.514,564661.6057,577784.6211,579267.2877,M,J,Den exit and reproduction,4996.531428197956,217.24049687817202
Bear2,2013-05-31,23,563440.3834782608,577681.1898304347,562947.4094,563836.3622,577426.7573,577818.9727,M,J,Den exit and reproduction,1675.2104982255248,76.14593173752385
Bear2,2013-06-01,23,563514.0383869566,577585.3781826086,562701.3382,564143.1137,577294.4087,577857.2941,M,J,Den exit and reproduction,2440.1778123620384,110.91717328918357
Bear2,2013-06-02,24,564088.72345,576331.4036541666,563773.5708,564799.2109,575316.4581,577341.6042,M,J,Den exit and reproduction,4779.654926168089,207.81108374643867
Bear2,2013-06-03,24,562701.5955416666,575763.0643458333,561616.7641,563920.6127,575021.6077,576399.8947,M,J,Den exit and reproduction,3915.3802627755417,170.2339244685018
Bear2,2013-06-04,24,561672.3868625,576976.1183666667,561434.4903,561869.5812,576381.5361,577560.7903,M,J,Den exit and reproduction,1786.7978129210715,77.68686143135093
Bear2,2013-06-05,24,561521.4810416667,577659.7016375,561135.2353,561953.4164,577240.2574,578002.2629,M,J,Den exit and reproduction,2230.56588046846,96.98112523775913
Bear2,2013-06-06,24,560700.13655,578176.203375,560070.0355,561179.8039,577673.6764,578458.8499,M,J,Den exit and reproduction,2499.521787396506,108.67486032158722
Bear2,2013-06-07,24,560712.2413875,578758.4169083334,560593.0524,560804.73,578429.5547,579155.8445,M,J,Den exit and reproduction,1181.2469907188852,51.358564813864575
Bear2,2013-06-08,24,560488.7817375,579044.0280583333,560252.556,560791.6695,578914.7874,579152.983,M,J,Den exit and reproduction,1083.797898033083,47.121647740568825
Bear2,2013-06-09,23,559320.9894086957,578483.0838565216,557720.5281,560366.6378,577864.3553,579006.0934,M,J,Den exit and reproduction,3510.6446701732166,159.57475773514622
Bear2,2013-06-10,24,557483.5306541667,578338.6028166666,556933.6646,557754.9727,577883.0989,578682.6478,M,J,Den exit and reproduction,2810.9512075644975,122.21526989410859
Bear2,2013-06-11,24,558335.5781791668,578762.5868458333,557546.9348,559168.0427,578570.6292,579295.0423,M,J,Den exit and reproduction,2671.0198382829713,116.13129731665093
Bear2,2013-06-12,23,559273.112326087,578370.2624652174,559017.8378,559648.596,577661.6793,578631.1933,M,J,Den exit and reproduction,1856.705542157349,84.39570646169769
Bear2,2013-06-13,24,559902.5435333333,578080.0334333333,559641.1914,560072.3002,577886.6649,578375.5978,M,J,Den exit and reproduction,1529.558103305322,66.50252623066618
Bear2,2013-06-14,24,560547.5430375,578052.9038625,560051.298,561252.6834,577657.4545,578236.7371,M,J,Den exit and reproduction,1963.719037000729,85.37908856524909
Bear2,2013-06-15,23,561447.874169565,577692.4965260869,561221.0957,561638.5472,577064.2581,578081.034,M,J,Forest fruits,1707.1538045987897,77.5979002090359
