id,x,y,date,dist,Season,Name,alt,SeasonName
1,556153.93,579218.87,2013-05-16,2187.428886,II,Bear2,1154,Den exit and reproduction
2,558318.54,578903.7,2013-05-17,1713.477345,II,Bear2,1050,Den exit and reproduction
3,560426.96,578907.49,2013-05-21,525.4057152,II,Bear2,1349,Den exit and reproduction
4,560202.97,578432.22,2013-05-22,425.4019142,II,Bear2,1213,Den exit and reproduction
5,560628.11,578447.37,2013-05-23,8.048338457,II,Bear2,1426,Den exit and reproduction
6,560775.4,578952.68,2013-05-27,559.6986336,II,Bear2,1419,Den exit and reproduction
7,560670.04,578402.99,2013-05-28,584.9471952,II,Bear2,1385,Den exit and reproduction
8,561250.38,578329.69,2013-05-29,672.8120207,II,Bear2,1477,Den exit and reproduction
9,561889.34,578118.97,2013-05-30,1902.862098,II,Bear2,1607,Den exit and reproduction
10,563764.26,577794.05,2013-05-31,832.0415942,II,Bear2,1242,Den exit and reproduction
11,562957.72,577589.62,2013-06-01,1194.111921,II,Bear2,1545,Den exit and reproduction
12,564119.18,577312.32,2013-06-02,1978.978,II,Bear2,1369,Den exit and reproduction
13,563887.34,575346.97,2013-06-03,2491.885272,II,Bear2,1471,Den exit and reproduction
14,561623.38,576388.11,2013-06-04,1167.402595,II,Bear2,1102,Den exit and reproduction
15,561821.42,577538.59,2013-06-05,823.9289463,II,Bear2,1311,Den exit and reproduction
16,561129.86,577986.48,2013-06-06,694.1378134,II,Bear2,1251,Den exit and reproduction
17,560613.85,578450.76,2013-06-07,711.0312664,II,Bear2,1415,Den exit and reproduction
18,560725.45,579152.98,2013-06-08,431.65557,II,Bear2,1379,Den exit and reproduction
19,560361.58,578920.76,2013-06-09,2802.882801,II,Bear2,1324,Den exit and reproduction
20,557741.03,577926.36,2013-06-10,767.1390789,II,Bear2,1201,Den exit and reproduction
21,557561.51,578672.2,2013-06-11,1462.93146,II,Bear2,1045,Den exit and reproduction
22,559023.31,578614.55,2013-06-12,911.3332465,II,Bear2,1159,Den exit and reproduction
23,562361.43,568893.34,2013-09-01,298.8390421,IV,Bear2,869,Hyperphagia
24,562593.85,569081.19,2013-09-02,1126.193745,IV,Bear2,938,Hyperphagia
25,562403.67,567971.17,2013-09-03,462.7479293,IV,Bear2,893,Hyperphagia
26,561995.54,567753.08,2013-09-04,95.44979737,IV,Bear2,799,Hyperphagia
27,561993.95,567657.64,2013-09-05,620.8330279,IV,Bear2,809,Hyperphagia
28,561687.01,567117.99,2013-09-06,718.7973664,IV,Bear2,833,Hyperphagia
29,561986.52,567771.41,2013-09-07,921.3707097,IV,Bear2,799,Hyperphagia
30,562201.35,568667.39,2013-09-08,1495.694711,IV,Bear2,807,Hyperphagia
31,561768.28,570099.02,2013-09-09,283.5774461,IV,Bear2,949,Hyperphagia
32,561946.59,569878.51,2013-09-10,1196.234815,IV,Bear2,908,Hyperphagia
33,560902.83,569294.09,2013-09-11,334.0292895,IV,Bear2,869,Hyperphagia
34,560668.51,569532.14,2013-09-12,441.8434599,IV,Bear2,862,Hyperphagia
35,561037.35,569775.41,2013-09-13,463.2372254,IV,Bear2,864,Hyperphagia
36,560844.11,569354.4,2013-09-14,252.1815854,IV,Bear2,844,Hyperphagia
37,560749.43,569120.66,2013-09-15,309.7300028,IV,Bear2,864,Hyperphagia
38,560973.97,569334.0,2013-09-16,744.1003029,IV,Bear2,903,Hyperphagia
39,560312.23,568993.75,2013-09-17,1579.314892,IV,Bear2,856,Hyperphagia
40,559954.41,567455.5,2013-09-18,262.5646297,IV,Bear2,799,Hyperphagia
41,559782.38,567653.86,2013-09-19,401.5072204,IV,Bear2,841,Hyperphagia
42,559588.39,568005.39,2013-09-20,696.7853655,IV,Bear2,811,Hyperphagia
43,558935.76,568249.48,2013-09-21,1734.67627,IV,Bear2,831,Hyperphagia
44,560624.62,568645.51,2013-09-22,717.7968511,IV,Bear2,854,Hyperphagia
45,560908.91,569304.61,2013-09-23,604.1373035,IV,Bear2,869,Hyperphagia
46,561037.59,569894.88,2013-09-24,231.2882911,IV,Bear2,860,Hyperphagia
47,561133.04,570105.56,2013-09-25,774.3951796,IV,Bear2,877,Hyperphagia
48,561705.5,569584.04,2013-09-26,657.5390722,IV,Bear2,902,Hyperphagia
49,561068.21,569745.94,2013-09-27,439.4521519,IV,Bear2,870,Hyperphagia
50,561039.17,569307.45,2013-09-28,390.623325,IV,Bear2,915,Hyperphagia
51,560707.53,569513.85,2013-09-29,275.9988196,IV,Bear2,840,Hyperphagia
52,560638.48,569781.07,2013-09-30,416.7004722,IV,Bear2,891,Hyperphagia
53,561035.54,569907.49,2013-10-01,1040.796188,IV,Bear2,860,Hyperphagia
54,561853.29,569263.64,2013-10-02,1061.585381,IV,Bear2,807,Hyperphagia
55,561037.03,569942.38,2013-10-03,431.6733687,IV,Bear2,863,Hyperphagia
56,560753.12,569617.21,2013-10-04,293.3734811,IV,Bear2,850,Hyperphagia
57,560940.14,569391.17,2013-10-05,311.0054888,IV,Bear2,885,Hyperphagia
58,560734.39,569624.39,2013-10-06,483.9398796,IV,Bear2,850,Hyperphagia
59,560469.63,569219.3,2013-10-07,251.6804985,IV,Bear2,856,Hyperphagia
60,560525.96,569464.59,2013-10-08,333.0235496,IV,Bear2,857,Hyperphagia
61,560716.68,569737.6,2013-10-09,49.6383379,IV,Bear2,862,Hyperphagia
62,560729.28,569689.58,2013-10-10,486.8827008,IV,Bear2,862,Hyperphagia
63,560897.09,569232.53,2013-10-11,2257.089956,IV,Bear2,880,Hyperphagia
64,561103.11,571480.2,2013-10-12,1916.816759,IV,Bear2,976,Hyperphagia
65,560731.87,569599.68,2013-10-13,48.39090873,IV,Bear2,840,Hyperphagia
66,560700.19,569563.1,2013-10-14,182.8912445,IV,Bear2,840,Hyperphagia
67,560517.31,569561.01,2013-10-15,2916.314117,IV,Bear2,857,Hyperphagia
68,557674.89,570213.32,2013-10-16,533.3602309,IV,Bear2,907,Hyperphagia
69,557245.1,569897.48,2013-10-17,1854.260953,IV,Bear2,882,Hyperphagia
70,555729.83,570966.23,2013-10-18,2302.151819,IV,Bear2,953,Hyperphagia
71,557723.02,569814.23,2013-10-19,702.2847577,IV,Bear2,875,Hyperphagia
72,558025.07,569180.23,2013-10-20,3210.452211,IV,Bear2,897,Hyperphagia
73,559603.18,571976.04,2013-10-21,2845.744302,IV,Bear2,1020,Hyperphagia
74,560806.7,569397.32,2013-10-22,875.2478293,IV,Bear2,832,Hyperphagia
75,560094.0,569905.36,2013-10-23,2478.767057,IV,Bear2,913,Hyperphagia
76,558162.61,571459.08,2013-10-24,1812.765853,IV,Bear2,1000,Hyperphagia
77,557562.91,569748.38,2013-10-25,3987.450384,IV,Bear2,848,Hyperphagia
78,554181.9,571862.27,2013-10-26,1372.195459,IV,Bear2,974,Hyperphagia
79,552864.26,571479.19,2013-10-27,1957.491448,IV,Bear2,907,Hyperphagia
80,550940.95,571843.38,2013-10-27,2385.12828,IV,Bear2,925,Hyperphagia
81,553265.93,571311.15,2013-10-28,1516.988116,IV,Bear2,942,Hyperphagia
82,551749.02,571296.02,2013-10-29,133.3063607,IV,Bear2,1016,Hyperphagia
83,551869.71,571239.41,2013-10-30,773.4839118,IV,Bear2,994,Hyperphagia
84,551305.65,571768.67,2013-10-31,64.06847613,IV,Bear2,1023,Hyperphagia
85,551369.36,571775.38,2013-11-01,288.7168895,IV,Bear2,1036,Hyperphagia
