id,Area,Season,SeasonName
Bear10,27.25454751,I,Winter sleep
Bear12,252.7183468,I,Winter sleep
Bear14,46.82092438,I,Winter sleep
Bear15,177.1422098,I,Winter sleep
Bear18,7.760138476,I,Winter sleep
Bear2,29.88068662,I,Winter sleep
Bear4,2.98055872,I,Winter sleep
Bear5,56.9489192,I,Winter sleep
Bear6,344.9241181,I,Winter sleep
Bear8,77.30412692,I,Winter sleep
Bear10,115.1148063,II,Den exit and reproduction
Bear12,211.7521009,II,Den exit and reproduction
Bear14,34.23564769,II,Den exit and reproduction
Bear15,14.35742909,II,Den exit and reproduction
Bear18,1561.415155,II,Den exit and reproduction
Bear2,22.97736583,II,Den exit and reproduction
Bear4,6.54284003,II,Den exit and reproduction
Bear5,49.78617662,II,Den exit and reproduction
Bear6,54.94983892,II,Den exit and reproduction
Bear8,94.59414105,II,Den exit and reproduction
Bear10,188.4274229,III,Forest fruits
Bear12,1195.775218,III,Forest fruits
Bear14,210.7761027,III,Forest fruits
Bear15,201.8412457,III,Forest fruits
Bear18,3.032568158,III,Forest fruits
Bear2,24.04189373,III,Forest fruits
Bear4,425.6564824,III,Forest fruits
Bear5,16.7058381,III,Forest fruits
Bear6,109.8817461,III,Forest fruits
Bear8,57.86572026,III,Forest fruits
Bear10,113.3888931,IV,Hyperphagia
Bear12,2036.10997,IV,Hyperphagia
Bear14,1222.286345,IV,Hyperphagia
Bear15,79.06148431,IV,Hyperphagia
Bear18,1047.058089,IV,Hyperphagia
Bear2,54.49902844,IV,Hyperphagia
Bear4,69.52205941,IV,Hyperphagia
Bear5,23.88550215,IV,Hyperphagia
Bear6,854.0190528,IV,Hyperphagia
Bear8,85.7149848,IV,Hyperphagia
