id,visible,timestamp,lng,lat,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
17622436200,true,2020-10-24 00:00:46.000,-56.74881,-17.300566,gps,Panthera onca,1,Ousado,Jaguar Rescue
17622436201,true,2020-10-24 01:01:30.000,-56.747868,-17.300436,gps,Panthera onca,1,Ousado,Jaguar Rescue
17622436202,true,2020-10-24 02:00:34.000,-56.747856,-17.300436,gps,Panthera onca,1,Ousado,Jaguar Rescue
17622436203,true,2020-10-24 03:00:11.000,-56.747868,-17.300447,gps,Panthera onca,1,Ousado,Jaguar Rescue
17622436204,true,2020-10-24 04:00:16.000,-56.747856,-17.300436,gps,Panthera onca,1,Ousado,Jaguar Rescue
17622436205,true,2020-10-24 05:00:47.000,-56.747868,-17.300436,gps,Panthera onca,1,Ousado,Jaguar Rescue
17622436206,true,2020-10-24 06:00:47.000,-56.747887,-17.300457,gps,Panthera onca,1,Ousado,Jaguar Rescue
17622436207,true,2020-10-24 07:00:24.000,-56.747856,-17.300468,gps,Panthera onca,1,Ousado,Jaguar Rescue
17622436208,true,2020-10-24 08:00:20.000,-56.748672,-17.300404,gps,Panthera onca,1,Ousado,Jaguar Rescue
17622436209,true,2020-10-24 09:00:33.000,-56.748714,-17.30048,gps,Panthera onca,1,Ousado,Jaguar Rescue
17622436210,true,2020-10-24 10:00:08.000,-56.74868,-17.30051,gps,Panthera onca,1,Ousado,Jaguar Rescue
17622436211,true,2020-10-24 11:00:12.000,-56.74881,-17.300608,gps,Panthera onca,1,Ousado,Jaguar Rescue
17622436212,true,2020-10-24 12:00:46.000,-56.7488,-17.300608,gps,Panthera onca,1,Ousado,Jaguar Rescue
17622436213,true,2020-10-24 13:00:46.000,-56.7488,-17.300596,gps,Panthera onca,1,Ousado,Jaguar Rescue
17622436214,true,2020-10-24 14:00:17.000,-56.748745,-17.300566,gps,Panthera onca,1,Ousado,Jaguar Rescue
17622436215,true,2020-10-24 15:01:18.000,-56.74885,-17.300575,gps,Panthera onca,1,Ousado,Jaguar Rescue
17622436216,true,2020-10-24 16:00:49.000,-56.74881,-17.300629,gps,Panthera onca,1,Ousado,Jaguar Rescue
17622436217,true,2020-10-24 17:00:10.000,-56.748768,-17.300617,gps,Panthera onca,1,Ousado,Jaguar Rescue
17622436218,true,2020-10-24 18:00:48.000,-56.74879,-17.300587,gps,Panthera onca,1,Ousado,Jaguar Rescue
17622436219,true,2020-10-24 19:00:41.000,-56.748756,-17.300608,gps,Panthera onca,1,Ousado,Jaguar Rescue
17622436220,true,2020-10-24 20:00:47.000,-56.74878,-17.300447,gps,Panthera onca,1,Ousado,Jaguar Rescue
17622436221,true,2020-10-24 21:00:11.000,-56.748543,-17.300276,gps,Panthera onca,1,Ousado,Jaguar Rescue
17622436222,true,2020-10-24 22:00:47.000,-56.748543,-17.300276,gps,Panthera onca,1,Ousado,Jaguar Rescue
17622436223,true,2020-10-24 23:00:33.000,-56.74851,-17.300276,gps,Panthera onca,1,Ousado,Jaguar Rescue
17622436224,true,2020-10-25 00:00:46.000,-56.748554,-17.300276,gps,Panthera onca,1,Ousado,Jaguar Rescue
17622436225,true,2020-10-25 01:00:08.000,-56.74852,-17.300276,gps,Panthera onca,1,Ousado,Jaguar Rescue
17622436226,true,2020-10-25 02:00:36.000,-56.74853,-17.300285,gps,Panthera onca,1,Ousado,Jaguar Rescue
17622436227,true,2020-10-25 03:00:07.000,-56.748543,-17.300297,gps,Panthera onca,1,Ousado,Jaguar Rescue
17622436228,true,2020-10-25 04:00:31.000,-56.74849,-17.300276,gps,Panthera onca,1,Ousado,Jaguar Rescue
17622436229,true,2020-10-25 05:00:06.000,-56.748566,-17.300285,gps,Panthera onca,1,Ousado,Jaguar Rescue
17622436230,true,2020-10-25 06:02:19.000,-56.748543,-17.300179,gps,Panthera onca,1,Ousado,Jaguar Rescue
17622436231,true,2020-10-25 07:03:01.000,-56.75025,-17.302277,gps,Panthera onca,1,Ousado,Jaguar Rescue
17622436232,true,2020-10-25 08:02:13.000,-56.74907,-17.300865,gps,Panthera onca,1,Ousado,Jaguar Rescue
17622436233,true,2020-10-25 09:00:46.000,-56.7488,-17.30049,gps,Panthera onca,1,Ousado,Jaguar Rescue
17622436234,true,2020-10-25 10:00:46.000,-56.74898,-17.300587,gps,Panthera onca,1,Ousado,Jaguar Rescue
17622436235,true,2020-10-25 11:01:31.000,-56.75412,-17.306906,gps,Panthera onca,1,Ousado,Jaguar Rescue
17622436236,true,2020-10-25 12:00:46.000,-56.75738,-17.30786,gps,Panthera onca,1,Ousado,Jaguar Rescue
17622436237,true,2020-10-25 13:00:46.000,-56.757427,-17.308052,gps,Panthera onca,1,Ousado,Jaguar Rescue
17622436238,true,2020-10-25 14:00:35.000,-56.75738,-17.308052,gps,Panthera onca,1,Ousado,Jaguar Rescue
17622436239,true,2020-10-25 15:00:41.000,-56.759647,-17.308086,gps,Panthera onca,1,Ousado,Jaguar Rescue
17622436240,true,2020-10-25 17:02:50.000,-56.759613,-17.307878,gps,Panthera onca,1,Ousado,Jaguar Rescue
17622436241,true,2020-10-25 18:03:06.000,-56.758793,-17.309484,gps,Panthera onca,1,Ousado,Jaguar Rescue
17622436242,true,2020-10-25 19:02:46.000,-56.7598,-17.307524,gps,Panthera onca,1,Ousado,Jaguar Rescue
17622436243,true,2020-10-25 20:01:00.000,-56.759666,-17.308064,gps,Panthera onca,1,Ousado,Jaguar Rescue
17622436244,true,2020-10-25 22:03:05.000,-56.75965,-17.308065,gps,Panthera onca,1,Ousado,Jaguar Rescue
17622436245,true,2020-10-25 23:00:50.000,-56.759304,-17.3117,gps,Panthera onca,1,Ousado,Jaguar Rescue
17622436246,true,2020-10-26 00:00:46.000,-56.7594,-17.312893,gps,Panthera onca,1,Ousado,Jaguar Rescue
17622436247,true,2020-10-26 02:01:17.000,-56.760735,-17.310688,gps,Panthera onca,1,Ousado,Jaguar Rescue
17622436248,true,2020-10-26 03:03:05.000,-56.759533,-17.31316,gps,Panthera onca,1,Ousado,Jaguar Rescue
17622436249,true,2020-10-26 04:01:24.000,-56.759453,-17.312893,gps,Panthera onca,1,Ousado,Jaguar Rescue
17622436250,true,2020-10-26 05:00:47.000,-56.75973,-17.313,gps,Panthera onca,1,Ousado,Jaguar Rescue
17622436251,true,2020-10-26 06:00:28.000,-56.759495,-17.312967,gps,Panthera onca,1,Ousado,Jaguar Rescue
17622436252,true,2020-10-26 07:00:46.000,-56.759766,-17.312881,gps,Panthera onca,1,Ousado,Jaguar Rescue
17622436253,true,2020-10-26 08:02:48.000,-56.75957,-17.313032,gps,Panthera onca,1,Ousado,Jaguar Rescue
17622436254,true,2020-10-26 09:01:29.000,-56.759186,-17.314243,gps,Panthera onca,1,Ousado,Jaguar Rescue
17622436255,true,2020-10-26 10:02:55.000,-56.761093,-17.313868,gps,Panthera onca,1,Ousado,Jaguar Rescue
17622436256,true,2020-10-26 11:02:30.000,-56.761158,-17.313654,gps,Panthera onca,1,Ousado,Jaguar Rescue
17622436257,true,2020-10-26 13:02:24.000,-56.76063,-17.312683,gps,Panthera onca,1,Ousado,Jaguar Rescue
